date:number,ugeo:text,D19:number,D22:number,D23:number,D15:number,D59:number,D16:number,D14:number,D97:number,index:number
1991,Ireland,11.44095762,3158.374,3158.374,11.44095762,50.899,0.184377563234,11.6253351832,15.1452790698,768.0
1991,Slovakia,12.46711875,3115.487,2338.33588889,9.35722447379,370.760111111,1.48365579217,10.840880266,24.7425465116,438.0
1991,Belgium,24.42630372,5766.508,5496.42577778,23.2822646604,693.868,2.93914974359,26.221414404,71.9230581395,365.0
1991,Hungary,18.89154677,6028.977,4569.60255556,14.3186581071,225.855,0.707707177476,15.0263652846,29.9576046512,502.0
1992,France,51.74336736,6896.229,6896.229,51.74336736,4132.62188889,31.0076380232,82.7510053832,463.556360465,179.0
1992,Austria,8.63887637,2636.576,1993.38933333,6.53144229787,1029.93788889,3.37464427003,9.90608656789,51.1814767442,194.0
1992,Ireland,12.1085434,3332.272,3332.272,12.1085434,52.094,0.189295009495,12.2978384095,16.0101162791,768.0
1992,Italy,104.23088452,32326.711,32326.711,104.23088452,4485.377,14.4621830571,118.693067577,225.900325581,525.0
1992,Latvia,4.75972927,1701.24,313.705555556,0.877685402965,123.886,0.346608250654,1.22429365362,3.83331395349,319.0
1992,Cyprus,2.038438,633.744,633.744,2.038438,0.0,0.0,2.038438,2.42955813953,839.0
1992,Netherlands,41.19560788,12354.099,11856.6901111,39.5369631223,1514.26077778,5.04940855901,44.5863716813,77.0363604651,579.0
1992,Malta,1.54212774,447.435,447.435,1.54212774,0.0,0.0,1.54212774,1.48973255814,1035.0
1992,Finland,16.10601121,4202.691,1870.01433333,7.16647305632,479.679,1.83827822488,9.0047512812,57.7142093023,156.0
1992,European Union - 28 countries (2013-2020),1366.41474623,333922.916,288456.799333,1180.36710083,42688.3404444,174.680967015,1355.04806784,2622.94966279,517.0
1992,Estonia,19.67383254,4598.263,2806.99855556,12.0098436131,52.6907777778,0.225439375347,12.2352829885,11.828872093,1034.0
1992,Sweden,9.33715677,2315.978,514.284666667,2.07340335576,141.282,0.569596163167,2.64299951893,146.439046512,18.0
